Species_Name	T50	T100	change
Akt	0.5993	0.96	0.3607
AP1	0.454	0.3251	-0.1289
apoptosis	0.9474	0.1015	-0.8459
ASK1	0.4683	0.3825	-0.0858
Bad	0.6669	0.3485	-0.3184
Bax	0.5483	0.2837	-0.2646
Bcl2	0.9436	0.9965	0.0529
Bcl2t	0.9602	0.9999	0.0397
Bim	0.8182	0.5603	-0.2579
CAD	0.9672	0.3839	-0.5833
cas3	0.9295	0.4079	-0.5216
cas9	0.8168	0.3169	-0.4999
cellDeath	0.5694	0.2026	-0.3668
CREB	0.6341	0.9742	0.3401
cytc	0.5604	0.2191	-0.3413
DNAfrag	0.9399	0.1411	-0.7988
EGF	0.175	0.175	0
EGFR	0.1353	0.1353	0
ERBB	0.1353	0.1353	0
ERK12	0.61	0.9653	0.3553
FGF	0.175	0.175	0
FGFR	0.1353	0.1353	0
FLT3	0.1353	0.1353	0
FLT3L	0.175	0.175	0
iCAD	0.0617	0.6049	0.5432
iCADt	1	1	0
IGF1	0.175	0.175	0
IGF1R	0.1353	0.1353	0
IkB	0.3784	0.03	-0.3484
IKK	0.61	0.9653	0.3553
JAK	0.5536	0.5246	-0.029
JNK	0.4594	0.3469	-0.1125
KIT	0.1353	0.1353	0
LRP1	0	0.5003	0.5003
LRP1ag	0	1	1
LRP1endo	0	0.5001	0.5001
MEK12	0.5993	0.96	0.3607
MEK36	0.4642	0.3659	-0.0983
MEK47	0.4642	0.3659	-0.0983
MOMP	0.5541	0.2532	-0.3009
mPTP	0.386	0.386	0
necrosis	0.37	0.37	0
NFkB	0.6388	0.988	0.3492
NOX	0	0	0
Noxa	0.4408	0.2718	-0.169
NRG1	0.175	0.175	0
p38	0.4594	0.3469	-0.1125
p53	0.4479	0.3002	-0.1477
PARP	0.0617	0.6049	0.5432
PDGF	0.175	0.175	0
PDGFR	0.1353	0.0677	-0.0676
PDK1	0.5895	0.9539	0.3644
PI3K	0.5805	0.947	0.3665
PKC	0	0.5001	0.5001
PUMA	0.4408	0.2718	-0.169
Raf	0.5895	0.9539	0.3644
Ras	0.5805	0.947	0.3665
ROS	0.4	0.4	0
RSK	0.6216	0.97	0.3484
SCF	0.175	0.175	0
Shc1	0	0.4997	0.4997
Shp2	0	0.5001	0.5001
Smac	0.5604	0.2191	-0.3413
Src	0.0959	0.7591	0.6632
STAT	0.5599	0.5277	-0.0322
Trx	0.614	0.614	0
Trxt	1	1	0
VEGF	0.175	0.175	0
VEGFR	0.1353	0.1353	0
xIAP	0.4326	0.8182	0.3856
xIAPt	1	1	0
