Species_Name	T30	T80	change
Akt	0.5669	1	0.4331
AP1	0.4666	0.3125	-0.1541
apoptosis	0.9675	0.0421	-0.9254
ASK1	0.4769	0.3741	-0.1028
Bad	0.6935	0.3125	-0.381
Bax	0.5737	0.257	-0.3167
Bcl2	0.9311	0.9977	0.0666
Bcl2t	0.9489	1	0.0511
Bim	0.8365	0.5273	-0.3092
CAD	0.9788	0.2874	-0.6914
cas3	0.9472	0.3285	-0.6187
cas9	0.8469	0.2597	-0.5872
cellDeath	0.5768	0.1837	-0.3931
CREB	0.5922	1	0.4078
cytc	0.5912	0.1864	-0.4048
DNAfrag	0.9613	0.074	-0.8873
EGF	0.175	0.175	0
EGFR	0.1353	0.1353	0
ERBB	0.1353	0.1353	0
ERK12	0.5745	1	0.4255
FGF	0.175	0.175	0
FGFR	0.1353	0.1353	0
FLT3	0.1353	0.1353	0
FLT3L	0.175	0.175	0
iCAD	0.0456	0.6959	0.6503
iCADt	1	1	0
IGF1	0.175	0.175	0
IGF1R	0.1353	0.1353	0
IkB	0.417	0	-0.417
IKK	0.5745	1	0.4255
JAK	0.5536	0.5536	0
JNK	0.4705	0.3359	-0.1346
KIT	0.1353	0.1353	0
LRP1	0	1	1
LRP1ag	0	1	1
LRP1endo	0	1	1
MEK12	0.5669	1	0.4331
MEK36	0.4739	0.3563	-0.1176
MEK47	0.4739	0.3563	-0.1176
MOMP	0.582	0.2233	-0.3587
mPTP	0.386	0.386	0
necrosis	0.37	0.37	0
NFkB	0.5944	1	0.4056
NOX	0	0	0
Noxa	0.4571	0.2555	-0.2016
NRG1	0.175	0.175	0
p38	0.4705	0.3359	-0.1346
p53	0.4622	0.2858	-0.1764
PARP	0.0456	0.6959	0.6503
PDGF	0.175	0.175	0
PDGFR	0.1353	0.1353	0
PDGFRendo	0	0	0
PDK1	0.5599	1	0.4401
PI3K	0.5536	1	0.4464
PKC	0	1	1
pLRP1	0	1	1
PUMA	0.4571	0.2555	-0.2016
Raf	0.5599	1	0.4401
Ras	0.5536	1	0.4464
ROS	0.4	0.4	0
RSK	0.583	1	0.417
SCF	0.175	0.175	0
Shc1	0	1	1
Shp2	0	1	1
Smac	0.5912	0.1864	-0.4048
Src	0.0959	1	0.9041
STAT	0.5599	0.5599	0
Trx	0.614	0.614	0
Trxt	1	1	0
VEGF	0.175	0.175	0
VEGFR	0.1353	0.1353	0
xIAP	0.3986	0.8529	0.4543
xIAPt	1	1	0
